symbol,name_of_company, series,fno_stock, date_of_listing, paid_up_value, market_lot, isin_number, face_value
UNIECOM,Unicommerce Esolutions Limited,eq,no,13-08-2024,1,1,INE00U401027,1
UNIENTER,Uniphos Enterprises Limited,eq,no,23-01-2004,2,1,INE037A01022,2
UNIINFO,Uniinfo Telecom Services Limited,eq,no,12-01-2022,10,1,INE481Z01011,10
UNIMECH,Unimech Aerospace and Manufacturing Limited,eq,no,31-12-2024,5,1,INE0U3I01011,5
UNIONBANK,Union Bank of India,eq,yes,24-09-2002,10,1,INE692A01016,10
UNIPARTS,Uniparts India Limited,eq,no,12-12-2022,10,1,INE244O01017,10
UNITDSPR,United Spirits Limited,eq,yes,27-09-2001,2,1,INE854D01024,2
UNITECH,Unitech Limited,eq,no,08-09-1999,2,1,INE694A01020,2
UNITEDPOLY,United Polyfab Gujarat Limited,eq,no,31-12-2021,1,1,INE368U01029,1
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,eq,no,28-01-2015,10,1,INE458F01011,10
UNIVASTU,Univastu India Limited,eq,no,22-06-2020,10,1,INE562X01013,10
UNIVCABLES,Universal Cables Limited,eq,no,17-05-1995,10,1,INE279A01012,10
UNIVPHOTO,Universus Photo Imagings Limited,be,no,14-02-2020,10,1,INE03V001013,10
UNOMINDA,UNO Minda Limited,eq,yes,02-02-2007,2,1,INE405E01023,2
UPL,UPL Limited,eq,yes,23-01-2004,2,1,INE628A01036,2
URAVIDEF,Uravi Defence and Technology Limited,eq,no,05-07-2023,10,1,INE568Z01015,10
URBANCO,Urban Company Limited,eq,no,17-09-2025,1,1,INE0CAZ01013,1
URJA,Urja Global Limited,eq,no,28-03-2017,1,1,INE550C01020,1
USHAMART,Usha Martin Limited,eq,no,11-10-2000,1,1,INE228A01035,1
USK,Udayshivakumar Infra Limited,be,no,03-04-2023,10,1,INE0N0Y01013,10
UTIAMC,UTI Asset Management Company Limited,eq,no,12-10-2020,10,1,INE094J01016,10
UTKARSHBNK,Utkarsh Small Finance Bank Limited,eq,no,21-07-2023,10,1,INE735W01017,10
UTLSOLAR,Fujiyama Power Systems Limited,eq,no,20-11-2025,1,1,INE12UR01024,1
UTTAMSUGAR,Uttam Sugar Mills Limited,eq,no,10-04-2006,10,1,INE786F01031,10
UYFINCORP,U. Y. Fincorp Limited,eq,no,03-10-2024,5,1,INE152C01025,5
V2RETAIL,V2 Retail Limited,eq,no,04-07-2007,1,1,INE945H01021,1
VADILALIND,Vadilal Industries Limited,eq,no,15-06-2011,10,1,INE694D01016,10
VAIBHAVGBL,Vaibhav Global Limited,eq,no,05-04-2004,2,1,INE884A01027,2
VAISHALI,Vaishali Pharma Limited,eq,no,15-01-2020,2,1,INE972X01022,2
VAKRANGEE,Vakrangee Limited,eq,no,03-04-2006,1,1,INE051B01021,1
VALIANTLAB,Valiant Laboratories Limited,eq,no,06-10-2023,10,1,INE0JWS01017,10
VALIANTORG,Valiant Organics Limited,eq,no,23-07-2021,10,1,INE565V01010,10
VARDHACRLC,Vardhman Acrylics Limited,eq,no,30-09-2003,10,1,INE116G01013,10
VARDMNPOLY,Vardhman Polytex Limited,be,no,12-05-2003,1,1,INE835A01029,1
VARROC,Varroc Engineering Limited,eq,no,06-07-2018,1,1,INE665L01035,1
VASCONEQ,Vascon Engineers Limited,eq,no,15-02-2010,10,1,INE893I01013,10
VASWANI,Vaswani Industries Limited,eq,no,20-09-2011,10,1,INE590L01019,10
VBL,Varun Beverages Limited,eq,yes,08-11-2016,2,1,INE200M01039,2
VCL,Vaxtex Cotfab Limited,eq,no,19-04-2022,1,1,INE098201036,1
VEDL,Vedanta Limited,eq,yes,13-05-1998,1,1,INE205A01025,1
VEEDOL,Veedol Corporation Limited,eq,no,16-01-2007,2,1,INE484C01030,2
VENKEYS,Venky's (India) Limited,eq,no,28-07-2003,10,1,INE398A01010,10
VENTIVE,Ventive Hospitality Limited,eq,no,30-12-2024,1,1,INE781S01027,1
VENUSPIPES,Venus Pipes & Tubes Limited,eq,no,24-05-2022,10,1,INE0JA001018,10
VENUSREM,Venus Remedies Limited,eq,no,20-12-2006,10,1,INE411B01019,10
VERANDA,Veranda Learning Solutions Limited,eq,no,11-04-2022,10,1,INE0IQ001011,10
VERTOZ,Vertoz Limited,eq,no,14-05-2020,10,1,INE188Y01031,10
VESUVIUS,Vesuvius India Limited,eq,no,04-10-2002,1,1,INE386A01023,1
VETO,Veto Switchgears And Cables Limited,eq,no,29-04-2015,10,1,INE918N01018,10
VGL,VARVEE GLOBAL LIMITED,eq,no,21-11-2006,5,1,INE273D01027,5
VGUARD,V-Guard Industries Limited,eq,no,13-03-2008,1,1,INE951I01027,1
VHL,Vardhman Holdings Limited,eq,no,30-06-2005,10,1,INE701A01023,10
VHLTD,Viceroy Hotels Limited,be,no,03-04-2024,10,1,INE048C01025,10
VIDHIING,Vidhi Specialty Food Ingredients Limited,eq,no,02-03-2016,1,1,INE632C01026,1
VIDYAWIRES,Vidya Wires Limited,eq,no,10-12-2025,1,1,INE14UN01029,1
VIJAYA,Vijaya Diagnostic Centre Limited,eq,no,14-09-2021,1,1,INE043W01024,1
VIJIFIN,Viji Finance Limited,be,no,11-07-2016,1,1,INE159N01027,1
VIKASECO,Vikas EcoTech Limited,eq,no,12-12-2011,1,1,INE806A01020,1
VIKASLIFE,Vikas Lifecare Limited,eq,no,08-05-2019,1,1,INE161L01027,1
VIKRAMSOLR,Vikram Solar Limited,eq,no,26-08-2025,10,1,INE078V01014,10
VIKRAN,Vikran Engineering Limited,eq,no,03-09-2025,1,1,INE01R501028,1
VIMTALABS,Vimta Labs Limited,eq,no,15-12-2005,2,1,INE579C01029,2
VINATIORGA,Vinati Organics Limited,eq,no,28-07-2009,1,1,INE410B01037,1
VINCOFE,Vintage Coffee And Beverages Limited,eq,no,18-10-2024,10,1,INE498Q01014,10
VINDHYATEL,Vindhya Telelinks Limited,eq,no,08-02-1995,10,1,INE707A01012,10
VINEETLAB,Vineet Laboratories Limited,eq,no,15-06-2021,10,1,INE505Y01010,10
VINNY,Vinny Overseas Limited,eq,no,28-11-2022,1,1,INE01KI01027,1
VINYLINDIA,Vinyl Chemicals (India) Limited,eq,no,21-07-2008,1,1,INE250B01029,1
VIPCLOTHNG,VIP Clothing Limited,eq,no,06-08-2007,2,1,INE450G01024,2
VIPIND,VIP Industries Limited,eq,no,02-03-2005,2,1,INE054A01027,2
VIPULLTD,Vipul Limited,be,no,23-04-2015,1,1,INE946H01037,1
VIRINCHI,Virinchi Limited,eq,no,03-05-2023,10,1,INE539B01017,10
VISAKAIND,Visaka Industries Limited,eq,no,28-08-1996,2,1,INE392A01021,2
VISASTEEL,Visa Steel Limited,eq,no,17-03-2006,10,1,INE286H01012,10
VISHNU,Vishnu Chemicals Limited,eq,no,05-03-2015,2,1,INE270I01022,2
VISHWARAJ,Vishwaraj Sugar Industries Limited,eq,no,15-10-2019,2,1,INE430N01022,2
VITAL,Vital Chemtech Limited,eq,no,11-03-2026,10,1,INE0L4K01016,10
VIVIDHA,Visagar Polytex Limited,eq,no,21-05-2013,1,1,INE370E01029,1
VIVIMEDLAB,Vivimed Labs Limited,eq,no,17-08-2005,2,1,INE526G01021,2
VIYASH,Viyash Scientific Limited,eq,no,10-03-2016,2,1,INE807F01027,2
VLEGOV,VL E-Governance & IT Solutions Limited,eq,no,14-08-2023,10,1,INE03HW01020,10
VLSFINANCE,VLS Finance Limited,eq,no,25-05-1995,10,1,INE709A01018,10
VMART,V-Mart Retail Limited,eq,no,20-02-2013,10,1,INE665J01013,10
VMM,Vishal Mega Mart Limited,eq,no,18-12-2024,10,1,INE01EA01019,10
VMSTMT,VMS TMT Limited,eq,no,24-09-2025,10,1,INE0SJA01013,10
VOLTAMP,Voltamp Transformers Limited,eq,no,20-09-2006,10,1,INE540H01012,10
VOLTAS,Voltas Limited,eq,yes,12-04-1995,1,1,INE226A01021,1
VPRPL,Vishnu Prakash R Punglia Limited,eq,no,05-09-2023,10,1,INE0AE001013,10
VRAJ,Vraj Iron and Steel Limited,eq,no,03-07-2024,10,1,INE0S2V01010,10
VRLLOG,VRL Logistics Limited,eq,no,30-04-2015,10,1,INE366I01010,10
VSSL,Vardhman Special Steels Limited,eq,no,17-05-2012,10,1,INE050M01012,10
VSTIND,VST Industries Limited,eq,no,05-09-2003,10,1,INE710A01016,10
VSTL,Vibhor Steel Tubes Limited,eq,no,20-02-2024,10,1,INE0QTF01015,10
VSTTILLERS,V.S.T Tillers Tractors Limited,eq,no,20-06-2011,10,1,INE764D01017,10
VTL,Vardhman Textiles Limited,eq,no,14-01-2003,2,1,INE825A01020,2
WAAREEENER,Waaree Energies Limited,eq,yes,28-10-2024,10,1,INE377N01017,10
WAAREEINDO,Indosolar Limited,eq,no,29-09-2010,10,1,INE866K01023,10
WAAREERTL,Waaree Renewable Technologies Limited,eq,no,09-04-2025,2,1,INE299N01021,2
WABAG,VA Tech Wabag Limited,eq,no,13-10-2010,2,1,INE956G01038,2
WAKEFIT,Wakefit Innovations Limited,eq,no,15-12-2025,1,1,INE0E7301029,1
WALCHANNAG,Walchandnagar Industries Limited,eq,no,18-09-1996,2,1,INE711A01022,2
WANBURY,Wanbury Limited,be,no,29-01-2007,10,1,INE107F01022,10
WCIL,Western Carriers (India) Limited,eq,no,24-09-2024,5,1,INE0CJF01024,5
WEALTH,Wealth First Portfolio Managers Limited,eq,no,20-01-2021,10,1,INE658T01017,10
WEBELSOLAR,Websol Energy System Limited,eq,no,15-05-2007,1,1,INE855C01023,1
WEIZMANIND,Weizmann Limited,eq,no,10-05-1995,10,1,INE080A01014,10
WEL,Wonder Electricals Limited,eq,no,17-01-2022,1,1,INE02WG01024,1
WELCORP,Welspun Corp Limited,eq,no,24-05-2005,5,1,INE191B01025,5
WELENT,Welspun Enterprises Limited,eq,no,04-11-2004,10,1,INE625G01013,10
WELINV,Welspun Investments and Commercials Limited,eq,no,20-09-2010,10,1,INE389K01018,10
WELSPUNLIV,Welspun Living Limited,eq,no,04-12-2003,1,1,INE192B01031,1
WENDT,Wendt (India) Limited,eq,no,07-08-2006,10,1,INE274C01019,10
WESTLIFE,WESTLIFE FOODWORLD LIMITED,eq,no,05-06-2023,2,1,INE274F01020,2
WEWIN,WE WIN LIMITED,eq,no,15-06-2022,10,1,INE082W01014,10
WEWORK,WeWork India Management Limited,eq,no,10-10-2025,10,1,INE085001019,10
